"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","91.3","91.6","91.9","92.3","92.6","92.9","93.2","93.6","93.9","94.2","94.5","94.9","95.2","95.5","95.8","96.2","96.5","96.8","97.1","97.4","97.8","98.1","","",
"Andorra","AND","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Afghanistan","AFG","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","2.8","2.8","2.8","2.8","2.8","5.9","9","12.2","15.3","18.5","21.6","24.7","27.9","31","34.2","37.3","40.4","43.6","46.7","49.9","53","56.1","","",
"Angola","AGO","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.8","41.8","41.8","41.8","41.8","41.4","41","40.6","40.2","39.7","39.3","38.9","38.5","38.1","37.6","37.2","36.8","36.4","36","35.5","35.1","34.7","34.3","","",
"Albania","ALB","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.2","94.2","94.2","94.2","94.2","94.1","94.1","94.1","94.1","94","94","94","94","93.9","93.9","93.9","93.9","93.8","93.8","","",
"Andean Region","ANR","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.1516230094819","73.4161215802183","73.4466081164852","71.4511235824085","71.4186867929345","71.5461061693389","71.6336220157261","71.6879819696276","71.7205193136884","71.7400312995732","71.7849910011259","71.8264387572041","72.0668950090083","72.1376349797976","72.1982908961152","72.3170892357862","72.4186358730873","72.4973206185765","72.6640034978733","72.9490058544568","73.1803117404741","73.372971459498","76.3295940935416","","",
"United Arab Emirates","ARE","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Argentina","ARG","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.3","70.5","71.6","72.8","74","75.2","76.4","77.6","78.7","79.9","81.1","82.3","83.5","84.7","85.9","87","88.2","89.4","90.6","91.8","93","94.1","95.3","","",
"Armenia","ARM","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.4","75.4","75.4","75.4","75.4","76.9","78.5","80","81.5","83.1","84.6","86.2","87.7","89.2","90.8","92.3","93.8","95.4","96.9","98.4","100","","",
"American Samoa","ASM","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.6","94","94.4","94.8","95.3","95.7","96.1","96.5","96.9","97.4","97.8","98.2","98.6","99","99.5","99.9","100","100","100","100","100","100","100","","",
