"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"South Africa","ZAF","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3","63.3","63.3","63.3","63.3","64.7","66.1","67.5","68.9","70.3","71.6","73","74.4","75.8","77.2","78.6","79.9","81.3","82.7","84.1","85.5","86.9","88.3","","",
"Algeria","DZA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.6","87.6","87.6","87.6","87","86.5","86","85.4","84.9","84.3","83.8","83.3","82.7","82.2","81.6","81.1","80.6","80","79.5","79.5","79.5","79.5","79.5","","",
"Angola","AGO","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.8","41.8","41.8","41.8","41.8","41.4","41","40.6","40.2","39.7","39.3","38.9","38.5","38.1","37.6","37.2","36.8","36.4","36","35.5","35.1","34.7","34.3","","",
"Benin","BEN","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1","50.1","51","52","52.9","53.9","54.8","55.8","56.7","57.7","58.6","59.6","60.5","61.5","62.4","63.4","64.3","65.3","66.2","67.2","68.1","69.1","69.1","","",
"Botswana","BWA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.2","86.6","86.9","87.2","87.6","87.9","88.2","88.5","88.9","89.2","89.5","89.9","90.2","90.5","90.9","91.2","91.5","91.8","92.2","92.5","92.8","92.8","92.8","","",
"Burkina Faso","BFA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6","38.6","40.3","42.1","43.9","45.7","47.4","49.2","51","52.8","54.5","56.3","58.1","59.9","61.6","63.4","65.2","67","68.7","70.5","72.3","74.1","75.8","","",
"Cameroon","CMR","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5","34.4","35.2","36","36.9","37.7","38.5","39.4","40.2","41","41.9","42.7","43.5","44.4","45.2","46","46.9","47.7","48.5","49.4","50.2","51","51.9","","",
"Cabo Verde","CPV","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.1","79.1","79.1","79.1","79.1","79.5","79.9","80.4","80.8","81.2","81.7","82.1","82.5","83","83.4","83.8","84.3","84.7","85.1","85.6","86","","",
"Comoros","COM","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.8","83.7","84.6","85.5","86.3","87.2","88.1","88.9","89.8","90.7","91.5","92.4","93.3","94.1","95","95.9","96.7","96.7","96.7","96.7","96.7","96.7","96.7","","",
"Congo, Rep.","COG","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1","32.1","32.1","32.1","32.1","32.7","33.3","33.9","34.6","35.2","35.8","36.4","37","37.6","38.2","38.8","","",
